mode,topic,candidates,ballots,p50,p90,p95,p99,p999,perfect_four
random,Sports GOATs,100,10000,28.46,35.95,37.88,40,40,Michael Jordan | Muhammad Ali | Tom Brady | Wayne Gretzky
random,NBA Players,100,10000,28.64,36.52,38.91,40,40,Michael Jordan | LeBron James | Magic Johnson | Kareem Abdul-Jabbar
random,NFL Quarterbacks,100,10000,28.36,36.02,37.45,40,40,Tom Brady | Joe Montana | Patrick Mahomes | Peyton Manning
random,NFL Players,100,10000,24.44,33.8,35.82,38.79,40,NFL Players Candidate 001 | NFL Players Candidate 002 | NFL Players Candidate 003 | NFL Players Candidate 004
random,MLB Players,100,10000,24.18,33.7,35.55,40,40,MLB Players Candidate 001 | MLB Players Candidate 002 | MLB Players Candidate 003 | MLB Players Candidate 004
random,NHL Players,100,10000,24.34,34.0,36.02,40,40,NHL Players Candidate 001 | NHL Players Candidate 002 | NHL Players Candidate 003 | NHL Players Candidate 004
random,Soccer Players,100,10000,23.96,33.35,35.38,40,40,Soccer Players Candidate 001 | Soccer Players Candidate 002 | Soccer Players Candidate 003 | Soccer Players Candidate 004
random,Olympic Athletes,100,10000,24.57,33.98,36.01,39.75,40,Olympic Athletes Candidate 001 | Olympic Athletes Candidate 002 | Olympic Athletes Candidate 003 | Olympic Athletes Candidate 004
random,Sports Jerseys,100,10000,24.49,33.85,36.05,39.69,40,Sports Jerseys Candidate 001 | Sports Jerseys Candidate 002 | Sports Jerseys Candidate 003 | Sports Jerseys Candidate 004
random,Sports Movies,100,10000,23.91,33.42,35.82,40,40,Sports Movies Candidate 001 | Sports Movies Candidate 002 | Sports Movies Candidate 003 | Sports Movies Candidate 004
random,College Football Programs,100,10000,24.62,34.16,36.45,38.89,40,College Football Programs Candidate 001 | College Football Programs Candidate 002 | College Football Programs Candidate 003 | College Football Programs Candidate 004
random,College Basketball Programs,100,10000,24.18,33.55,35.74,40,40,College Basketball Programs Candidate 001 | College Basketball Programs Candidate 002 | College Basketball Programs Candidate 003 | College Basketball Programs Candidate 004
random,Greatest Sports Moments,100,10000,24.02,33.73,35.81,40,40,Greatest Sports Moments Candidate 001 | Greatest Sports Moments Candidate 002 | Greatest Sports Moments Candidate 003 | Greatest Sports Moments Candidate 004
random,Athletes You'd Want in a Bar Fight,100,10000,24.65,34.0,35.91,39.17,40,Athletes You'd Want in a Bar Fight Candidate 001 | Athletes You'd Want in a Bar Fight Candidate 002 | Athletes You'd Want in a Bar Fight Candidate 003 | Athletes You'd Want in a Bar Fight Candidate 004
random,Sports Rivalries,100,10000,24.34,33.78,35.69,39.4,40,Sports Rivalries Candidate 001 | Sports Rivalries Candidate 002 | Sports Rivalries Candidate 003 | Sports Rivalries Candidate 004
random,Fast Food Chains,100,10000,28.02,35.7,36.92,40,40,McDonald's | Chick-fil-A | Taco Bell | Wendy's
random,Fast Food Items,100,10000,28.75,36.53,39.12,40,40,McDonald's Fries | Chick-fil-A Chicken Sandwich | Big Mac | Crunchwrap Supreme
random,Chain Restaurants,100,10000,24.34,34.04,35.83,38.51,40,Chain Restaurants Candidate 001 | Chain Restaurants Candidate 002 | Chain Restaurants Candidate 003 | Chain Restaurants Candidate 004
random,Breakfast Cereals,100,10000,28.84,36.59,38.25,40,40,Cinnamon Toast Crunch | Frosted Flakes | Lucky Charms | Cheerios
random,Pizza Toppings,100,10000,24.47,34.07,35.81,40,40,Pizza Toppings Candidate 001 | Pizza Toppings Candidate 002 | Pizza Toppings Candidate 003 | Pizza Toppings Candidate 004
random,Candy,100,10000,24.87,34.62,36.7,39.73,40,Candy Candidate 001 | Candy Candidate 003 | Candy Candidate 002 | Candy Candidate 005
random,Snack Foods,100,10000,24.47,33.98,35.78,38.27,40,Snack Foods Candidate 001 | Snack Foods Candidate 002 | Snack Foods Candidate 003 | Snack Foods Candidate 004
random,Masculine Foods,100,10000,28.77,36.58,39.14,40,40,Steak | Chicken Wings | Beef Jerky | Chili
random,Foods to Eat Drunk,100,10000,24.59,33.9,36.17,38.65,40,Foods to Eat Drunk Candidate 001 | Foods to Eat Drunk Candidate 002 | Foods to Eat Drunk Candidate 003 | Foods to Eat Drunk Candidate 004
random,Cookout Foods,100,10000,24.35,33.93,35.84,39.79,40,Cookout Foods Candidate 001 | Cookout Foods Candidate 002 | Cookout Foods Candidate 003 | Cookout Foods Candidate 005
random,Road Trip Snacks,100,10000,24.32,33.76,35.76,39.23,40,Road Trip Snacks Candidate 001 | Road Trip Snacks Candidate 003 | Road Trip Snacks Candidate 002 | Road Trip Snacks Candidate 004
random,Ice Cream Flavors,100,10000,24.14,33.81,35.9,40,40,Ice Cream Flavors Candidate 001 | Ice Cream Flavors Candidate 002 | Ice Cream Flavors Candidate 003 | Ice Cream Flavors Candidate 004
random,Sandwiches,100,10000,24.18,33.51,35.47,38.42,40,Sandwiches Candidate 001 | Sandwiches Candidate 002 | Sandwiches Candidate 003 | Sandwiches Candidate 004
random,Appetizers,100,10000,24.45,33.72,35.93,39.48,40,Appetizers Candidate 001 | Appetizers Candidate 002 | Appetizers Candidate 003 | Appetizers Candidate 004
random,Comfort Foods,100,10000,24.5,34.11,36.32,40.0,40,Comfort Foods Candidate 001 | Comfort Foods Candidate 002 | Comfort Foods Candidate 003 | Comfort Foods Candidate 005
random,Sitcoms,100,10000,28.63,36.53,37.78,40,40,Seinfeld | The Office | Friends | Cheers
random,TV Shows,100,10000,24.11,33.47,35.63,39.18,40.0,TV Shows Candidate 001 | TV Shows Candidate 002 | TV Shows Candidate 003 | TV Shows Candidate 004
random,Reality TV Shows,100,10000,24.2,33.66,35.86,40,40,Reality TV Shows Candidate 002 | Reality TV Shows Candidate 001 | Reality TV Shows Candidate 003 | Reality TV Shows Candidate 004
random,Disney Animated Movies,100,10000,27.67,35.77,37.25,40,40,The Lion King | Beauty and the Beast | Aladdin | Snow White and the Seven Dwarfs
random,Comedy Movies,100,10000,24.57,33.75,36.03,40,40,Comedy Movies Candidate 001 | Comedy Movies Candidate 002 | Comedy Movies Candidate 003 | Comedy Movies Candidate 004
random,Action Movies,100,10000,24.95,34.34,36.52,38.83,40,Action Movies Candidate 001 | Action Movies Candidate 002 | Action Movies Candidate 003 | Action Movies Candidate 004
random,Christmas Movies,100,10000,24.33,33.51,35.59,38.4,40.0,Christmas Movies Candidate 001 | Christmas Movies Candidate 002 | Christmas Movies Candidate 003 | Christmas Movies Candidate 004
random,Movie Villains,100,10000,24.53,33.94,36.36,39.63,40,Movie Villains Candidate 001 | Movie Villains Candidate 002 | Movie Villains Candidate 003 | Movie Villains Candidate 004
random,Movie Heroes,100,10000,24.44,33.83,35.98,39.06,40.0,Movie Heroes Candidate 001 | Movie Heroes Candidate 002 | Movie Heroes Candidate 003 | Movie Heroes Candidate 004
random,Animated Movies,100,10000,24.18,33.56,35.68,38.31,40,Animated Movies Candidate 001 | Animated Movies Candidate 002 | Animated Movies Candidate 003 | Animated Movies Candidate 004
random,Cartoon Characters,100,10000,24.6,34.01,36.28,40,40,Cartoon Characters Candidate 001 | Cartoon Characters Candidate 002 | Cartoon Characters Candidate 003 | Cartoon Characters Candidate 004
random,TV Characters,100,10000,24.65,34.08,36.23,40,40,TV Characters Candidate 001 | TV Characters Candidate 002 | TV Characters Candidate 003 | TV Characters Candidate 004
random,Movie Franchises,100,10000,24.18,33.64,36.1,40,40,Movie Franchises Candidate 001 | Movie Franchises Candidate 002 | Movie Franchises Candidate 004 | Movie Franchises Candidate 003
random,Horror Movies,100,10000,24.44,34.05,35.97,39.16,40,Horror Movies Candidate 001 | Horror Movies Candidate 002 | Horror Movies Candidate 003 | Horror Movies Candidate 004
random,Rom-Coms,100,10000,24.09,33.17,35.77,37.58,40,Rom-Coms Candidate 001 | Rom-Coms Candidate 002 | Rom-Coms Candidate 003 | Rom-Coms Candidate 004
random,Video Games,100,10000,28.53,36.18,38.37,40,40,Super Mario Bros. | The Legend of Zelda: Ocarina of Time | Tetris | Minecraft
random,Nintendo Characters,100,10000,23.95,33.1,35.41,40,40,Nintendo Characters Candidate 001 | Nintendo Characters Candidate 002 | Nintendo Characters Candidate 003 | Nintendo Characters Candidate 004
random,PlayStation Games,100,10000,24.67,34.07,36.42,39.18,40,PlayStation Games Candidate 001 | PlayStation Games Candidate 002 | PlayStation Games Candidate 003 | PlayStation Games Candidate 004
random,Xbox Games,100,10000,24.45,34.25,36.37,39.03,40,Xbox Games Candidate 001 | Xbox Games Candidate 002 | Xbox Games Candidate 003 | Xbox Games Candidate 004
random,Board Games,100,10000,24.42,33.33,35.71,38.88,40,Board Games Candidate 001 | Board Games Candidate 002 | Board Games Candidate 003 | Board Games Candidate 004
random,Arcade Games,100,10000,24.18,33.4,35.38,37.89,40,Arcade Games Candidate 001 | Arcade Games Candidate 002 | Arcade Games Candidate 004 | Arcade Games Candidate 003
random,Party Games,100,10000,24.19,33.67,36.11,40,40,Party Games Candidate 001 | Party Games Candidate 002 | Party Games Candidate 003 | Party Games Candidate 004
random,Game Consoles,100,10000,24.44,34.02,35.97,39.2,40,Game Consoles Candidate 001 | Game Consoles Candidate 002 | Game Consoles Candidate 003 | Game Consoles Candidate 004
random,Rappers,100,10000,24.3,33.83,36.01,38.78,40,Rappers Candidate 001 | Rappers Candidate 002 | Rappers Candidate 003 | Rappers Candidate 004
random,Rock Bands,100,10000,24.68,34.48,36.39,39.25,40,Rock Bands Candidate 001 | Rock Bands Candidate 002 | Rock Bands Candidate 003 | Rock Bands Candidate 004
random,Pop Stars,100,10000,23.94,33.4,35.62,40.0,40.0,Pop Stars Candidate 001 | Pop Stars Candidate 002 | Pop Stars Candidate 003 | Pop Stars Candidate 004
random,Country Artists,100,10000,24.67,34.4,36.63,40,40,Country Artists Candidate 001 | Country Artists Candidate 002 | Country Artists Candidate 003 | Country Artists Candidate 004
random,Boy Bands,100,10000,24.25,33.21,35.23,38.99,40,Boy Bands Candidate 001 | Boy Bands Candidate 002 | Boy Bands Candidate 003 | Boy Bands Candidate 004
random,Girl Groups,100,10000,23.96,33.26,35.27,40,40,Girl Groups Candidate 001 | Girl Groups Candidate 002 | Girl Groups Candidate 003 | Girl Groups Candidate 004
random,One-Hit Wonders,100,10000,24.49,33.85,36.06,39.76,40,One-Hit Wonders Candidate 001 | One-Hit Wonders Candidate 002 | One-Hit Wonders Candidate 003 | One-Hit Wonders Candidate 004
random,Songs Everyone Knows,100,10000,24.56,33.89,36.18,39.0,40,Songs Everyone Knows Candidate 001 | Songs Everyone Knows Candidate 002 | Songs Everyone Knows Candidate 003 | Songs Everyone Knows Candidate 004
random,Karaoke Songs,100,10000,24.34,33.86,36.03,40,40,Karaoke Songs Candidate 001 | Karaoke Songs Candidate 002 | Karaoke Songs Candidate 003 | Karaoke Songs Candidate 004
random,Albums,100,10000,24.51,33.87,36.0,39.16,40,Albums Candidate 001 | Albums Candidate 002 | Albums Candidate 003 | Albums Candidate 004
random,Music Videos,100,10000,24.18,33.81,35.97,40,40,Music Videos Candidate 001 | Music Videos Candidate 002 | Music Videos Candidate 003 | Music Videos Candidate 004
random,Places to Get Drunk That Aren't a Bar,100,10000,24.89,34.43,36.56,40,40,Places to Get Drunk That Aren't a Bar Candidate 001 | Places to Get Drunk That Aren't a Bar Candidate 002 | Places to Get Drunk That Aren't a Bar Candidate 003 | Places to Get Drunk That Aren't a Bar Candidate 004
random,Things Dads Say,100,10000,24.65,34.19,36.17,39.0,40,Things Dads Say Candidate 001 | Things Dads Say Candidate 002 | Things Dads Say Candidate 003 | Things Dads Say Candidate 004
random,Best Smells,100,10000,24.88,34.12,36.22,39.76,40,Best Smells Candidate 001 | Best Smells Candidate 002 | Best Smells Candidate 003 | Best Smells Candidate 004
random,Things That Make You Feel Rich,100,10000,24.39,34.03,35.75,38.51,40,Things That Make You Feel Rich Candidate 001 | Things That Make You Feel Rich Candidate 002 | Things That Make You Feel Rich Candidate 003 | Things That Make You Feel Rich Candidate 004
